reference_date,year,state_code,sex_code,age_group,census_basis,population_persons
2022-12-31,2022,06,M,18-29,Census 2022 basis,437956
2022-12-31,2022,06,M,30-44,Census 2022 basis,614962
2022-12-31,2022,06,M,45-64,Census 2022 basis,888045
2022-12-31,2022,06,M,65-74,Census 2022 basis,320076
2022-12-31,2022,06,M,75-84,Census 2022 basis,201786
2022-12-31,2022,06,M,85-89,Census 2022 basis,49529
2022-12-31,2022,06,M,90+,Census 2022 basis,17252
2022-12-31,2022,07,F,0-17,Census 2022 basis,333304
2022-12-31,2022,07,F,18-29,Census 2022 basis,252297
2022-12-31,2022,07,F,30-44,Census 2022 basis,379861
2022-12-31,2022,07,F,45-64,Census 2022 basis,601816
2022-12-31,2022,07,F,65-74,Census 2022 basis,256361
2022-12-31,2022,07,F,75-84,Census 2022 basis,169829
2022-12-31,2022,07,F,85-89,Census 2022 basis,57325
2022-12-31,2022,07,F,90+,Census 2022 basis,29815
2022-12-31,2022,07,M,0-17,Census 2022 basis,351570
2022-12-31,2022,07,M,18-29,Census 2022 basis,274523
2022-12-31,2022,07,M,30-44,Census 2022 basis,391115
2022-12-31,2022,07,M,45-64,Census 2022 basis,593898
2022-12-31,2022,07,M,65-74,Census 2022 basis,237795
2022-12-31,2022,07,M,75-84,Census 2022 basis,132342
2022-12-31,2022,07,M,85-89,Census 2022 basis,34630
2022-12-31,2022,07,M,90+,Census 2022 basis,12074
2022-12-31,2022,08,F,0-17,Census 2022 basis,944031
2022-12-31,2022,08,F,18-29,Census 2022 basis,745429
2022-12-31,2022,08,F,30-44,Census 2022 basis,1074336
2022-12-31,2022,08,F,45-64,Census 2022 basis,1574707
2022-12-31,2022,08,F,65-74,Census 2022 basis,619785
2022-12-31,2022,08,F,75-84,Census 2022 basis,454819
2022-12-31,2022,08,F,85-89,Census 2022 basis,148158
2022-12-31,2022,08,F,90+,Census 2022 basis,75032
2022-12-31,2022,08,M,0-17,Census 2022 basis,990079
2022-12-31,2022,08,M,18-29,Census 2022 basis,818890
2022-12-31,2022,08,M,30-44,Census 2022 basis,1113391
2022-12-31,2022,08,M,45-64,Census 2022 basis,1567977
2022-12-31,2022,08,M,65-74,Census 2022 basis,560842
2022-12-31,2022,08,M,75-84,Census 2022 basis,354170
2022-12-31,2022,08,M,85-89,Census 2022 basis,93401
2022-12-31,2022,08,M,90+,Census 2022 basis,32674
2022-12-31,2022,09,F,0-17,Census 2022 basis,1074286
2022-12-31,2022,09,F,18-29,Census 2022 basis,844764
2022-12-31,2022,09,F,30-44,Census 2022 basis,1284815
2022-12-31,2022,09,F,45-64,Census 2022 basis,1883010
2022-12-31,2022,09,F,65-74,Census 2022 basis,733056
2022-12-31,2022,09,F,75-84,Census 2022 basis,548746
2022-12-31,2022,09,F,85-89,Census 2022 basis,168052
2022-12-31,2022,09,F,90+,Census 2022 basis,85040
2022-12-31,2022,09,M,0-17,Census 2022 basis,1134024
2022-12-31,2022,09,M,18-29,Census 2022 basis,920968
2022-12-31,2022,09,M,30-44,Census 2022 basis,1330370
2022-12-31,2022,09,M,45-64,Census 2022 basis,1873716
2022-12-31,2022,09,M,65-74,Census 2022 basis,662468
2022-12-31,2022,09,M,75-84,Census 2022 basis,426622
2022-12-31,2022,09,M,85-89,Census 2022 basis,100615
2022-12-31,2022,09,M,90+,Census 2022 basis,34669
2022-12-31,2022,10,F,0-17,Census 2022 basis,74672
2022-12-31,2022,10,F,18-29,Census 2022 basis,60315
2022-12-31,2022,10,F,30-44,Census 2022 basis,91254
2022-12-31,2022,10,F,45-64,Census 2022 basis,149626
2022-12-31,2022,10,F,65-74,Census 2022 basis,69577
2022-12-31,2022,10,F,75-84,Census 2022 basis,45094
2022-12-31,2022,10,F,85-89,Census 2022 basis,16278
2022-12-31,2022,10,F,90+,Census 2022 basis,8117
2022-12-31,2022,10,M,0-17,Census 2022 basis,79715
2022-12-31,2022,10,M,18-29,Census 2022 basis,65574
2022-12-31,2022,10,M,30-44,Census 2022 basis,95231
2022-12-31,2022,10,M,45-64,Census 2022 basis,146579
2022-12-31,2022,10,M,65-74,Census 2022 basis,64232
2022-12-31,2022,10,M,75-84,Census 2022 basis,33314
2022-12-31,2022,10,M,85-89,Census 2022 basis,9240
2022-12-31,2022,10,M,90+,Census 2022 basis,3073
2022-12-31,2022,11,F,0-17,Census 2022 basis,296333
2022-12-31,2022,11,F,18-29,Census 2022 basis,259964
2022-12-31,2022,11,F,30-44,Census 2022 basis,434957
2022-12-31,2022,11,F,45-64,Census 2022 basis,464598
2022-12-31,2022,11,F,65-74,Census 2022 basis,181580
2022-12-31,2022,11,F,75-84,Census 2022 basis,150208
2022-12-31,2022,11,F,85-89,Census 2022 basis,45735
2022-12-31,2022,11,F,90+,Census 2022 basis,21578
2022-12-31,2022,11,M,0-17,Census 2022 basis,310135
2022-12-31,2022,11,M,18-29,Census 2022 basis,257413
2022-12-31,2022,11,M,30-44,Census 2022 basis,442525
2022-12-31,2022,11,M,45-64,Census 2022 basis,468776
2022-12-31,2022,11,M,65-74,Census 2022 basis,155218
2022-12-31,2022,11,M,75-84,Census 2022 basis,109631
2022-12-31,2022,11,M,85-89,Census 2022 basis,26055
2022-12-31,2022,11,M,90+,Census 2022 basis,8147
2022-12-31,2022,12,F,0-17,Census 2022 basis,200804
2022-12-31,2022,12,F,18-29,Census 2022 basis,105658
2022-12-31,2022,12,F,30-44,Census 2022 basis,236935
2022-12-31,2022,12,F,45-64,Census 2022 basis,385062
2022-12-31,2022,12,F,65-74,Census 2022 basis,175945
2022-12-31,2022,12,F,75-84,Census 2022 basis,127652
2022-12-31,2022,12,F,85-89,Census 2022 basis,42859
2022-12-31,2022,12,F,90+,Census 2022 basis,19534
2022-12-31,2022,12,M,0-17,Census 2022 basis,211182
2022-12-31,2022,12,M,18-29,Census 2022 basis,119665
2022-12-31,2022,12,M,30-44,Census 2022 basis,242259
2022-12-31,2022,12,M,45-64,Census 2022 basis,389923
2022-12-31,2022,12,M,65-74,Census 2022 basis,161597
2022-12-31,2022,12,M,75-84,Census 2022 basis,94049
2022-12-31,2022,12,M,85-89,Census 2022 basis,24462
2022-12-31,2022,12,M,90+,Census 2022 basis,7573
2022-12-31,2022,13,F,0-17,Census 2022 basis,118831
2022-12-31,2022,13,F,18-29,Census 2022 basis,71517
2022-12-31,2022,13,F,30-44,Census 2022 basis,142311
2022-12-31,2022,13,F,45-64,Census 2022 basis,232643
2022-12-31,2022,13,F,65-74,Census 2022 basis,120292
2022-12-31,2022,13,F,75-84,Census 2022 basis,79129
2022-12-31,2022,13,F,85-89,Census 2022 basis,27853
2022-12-31,2022,13,F,90+,Census 2022 basis,12751
2022-12-31,2022,13,M,0-17,Census 2022 basis,123860
2022-12-31,2022,13,M,18-29,Census 2022 basis,76119
2022-12-31,2022,13,M,30-44,Census 2022 basis,149726
2022-12-31,2022,13,M,45-64,Census 2022 basis,235703
2022-12-31,2022,13,M,65-74,Census 2022 basis,108926
